latitude,longitude,valueMedian,value5th,value95th
-16.1529296875,180,0.589390132308563,0.466977800288921,0.787669163081296
-16.21659020822,179.762810919291,0.589390132308563,0.466750972021255,0.789492354973748
-16.266117894201,179.523658017568,0.589390132308563,0.467046143386585,0.788634544548813
-16.393550535614,179.311342656601,0.556554146758187,0.447573685808928,0.73642158407632
-16.4457378034442,179.067616041778,0.611433267163161,0.484458714468494,0.814093017712415
-16.561653799838,178.851382109362,0.611433267163161,0.484511836417042,0.814354777412539
-16.6533087696649,178.648816406322,0.611433267163161,0.485406310767747,0.813720662171225
-16.7741069281329,178.501097394651,0.616213780856942,0.487330387052605,0.821795309458185
-16.914110607613,178.662722495847,0.622872089962992,0.490888572324941,0.832074601655374
-16.9049389730284,178.860599151485,0.622872089962992,0.491389676219916,0.833075307875611
-16.8177889210997,179.053102434588,0.556554146758187,0.447631470643584,0.735462270232325
-16.7110961392806,179.269309128564,0.556554146758187,0.447733587449709,0.735937961703716
-16.8046896905769,179.47428466754,0.556554146758187,0.447884548420857,0.73737333078204
-16.7434991636376,179.715632842493,0.545499586909321,0.464275722826372,0.697958911910864
-16.7109886760652,179.911565717687,0.545499586909321,0.464511297403512,0.697152390344334
-16.5185522986773,179.884741089591,0.538259022032903,0.459132539727395,0.685761105937828
-16.6520818290944,179.674588765032,0.538259022032903,0.458779300626488,0.685661871724519
-16.6404415418768,179.564287918312,0.556554146758187,0.447094471775952,0.736068029328655
-16.4614152244396,179.724185706403,0.538259022032903,0.459007951784351,0.685622323421666
-17.05419921875,177.25751953125,0.645406147130462,0.523617825163239,0.849646072640235
-17.117646591899,177.198691968427,0.645406147130462,0.523330065212241,0.847709048822423
0.791308593749989,127.37265625,0.407588281041005,0.290140386839348,0.544816426200574
24.68505859375,-81.322314453125,0.50567016265825,0.410744589637575,0.64971005170992
24.6337033107322,-81.3732666731927,0.503571342031335,0.409543219270637,0.646382778133618
24.8462890625,-80.7994140625,0.287325827778862,0.247452939270875,0.36877633228105
24.94111328125,-80.62568359375,0.286295380074474,0.246738306761416,0.366927377533223
-31.62724609375,129.56884765625,0.535742266708465,0.315975251471932,0.775565299333564
-31.6486253404027,129.319763478084,0.535742266708465,0.316164110435261,0.773838223341916
-31.6803980521454,129.072040885685,0.535742266708465,0.317058138672008,0.776409595403071
-31.7539369088228,128.835280124599,0.535742266708465,0.315909853964956,0.775950993421885
-31.8588875586354,128.608376265875,0.535742266708465,0.316740034259858,0.774293337899285
-31.9511950628838,128.37619463633,0.540410750253107,0.316192644658163,0.784039535681302
-32.0387191842447,128.142016225326,0.45020761037626,0.276253234093307,0.650229686786733
-32.1027765429766,127.900938660813,0.45020761037626,0.275280370517626,0.649682467336592
-32.1578396202494,127.657162333837,0.45020761037626,0.275697131107923,0.648702332573577
-32.2329264236062,127.418704849237,0.450207610376259,0.277306634257749,0.650378050598374
-32.2842358413155,127.174888367751,0.418937515409724,0.27021108242428,0.604342386864663
-32.3041718932454,126.92593200473,0.418937515409724,0.269183036705214,0.604341899213262
-32.302281126448,126.676451657095,0.418937515409724,0.270664418836939,0.605380033779011
-32.2813130322668,126.42733253092,0.424301553849535,0.2721007982352,0.613921844228791
-32.2603449380855,126.178213404745,0.424301553849535,0.272183350857571,0.613871166366191
-32.2943058345772,125.931760934251,0.409569906632833,0.266224997423807,0.597400818566731
-32.4175758867307,125.715279987914,0.409569906632833,0.265045382120162,0.598031622309924
-32.5400114022044,125.497531326326,0.409569906632833,0.266615146376609,0.597873313826914
-32.6176843256176,125.260484983246,0.409569906632833,0.265926933945272,0.597657652096509
-32.734458940322,125.039433655811,0.409569906632833,0.264470010816093,0.596803754791834
-32.8512335550264,124.818382328376,0.412709103265137,0.265404326738366,0.602937083910683
-32.9262015175365,124.581440348656,0.404808566535253,0.266170373420729,0.592363683203386
-32.9740810549361,124.337511687981,0.404808566535253,0.265674980958723,0.593163548322611
-33.1180119340831,124.137807349277,0.404808566535253,0.265556147588453,0.592583792519617
-33.338263990048,124.02134983987,0.404808566535253,0.265538871959768,0.593175458429739
-33.5541629208051,123.896160600452,0.407962514953032,0.267096973736991,0.599250766739072
-33.7440133657363,123.73425165173,0.367038164716807,0.247603079641863,0.549794775918018
-33.89724609664,123.540917008483,0.367038164716807,0.245990572382882,0.548789926829562
-33.9375445059509,123.304190306915,0.367038164716807,0.245516226607978,0.548273432200546
-33.9134942183684,123.088191125852,0.367038164716807,0.244645994108214,0.548739469330045
-33.8882268413472,122.843240331704,0.367038164716807,0.246549453339181,0.549635621038929
-33.9201353257678,122.595638554641,0.351365880711595,0.230103153704859,0.53593541638064
-33.9599119891127,122.348823204524,0.351365880711594,0.231561716689753,0.536260225026549
-33.9524093150456,122.120829678009,0.351365880711595,0.230669909398167,0.536908077115606
-33.8576866644973,121.910717864076,0.351500548424082,0.231658177542642,0.536673730607944
-33.8549584932527,121.661195782983,0.351500548424082,0.231508083053968,0.536601397754149
-33.8275967822186,121.412697620477,0.340404328928714,0.223454191715585,0.521806872588667
-33.8449803442982,121.163429770211,0.340404328928714,0.222935589126599,0.521825466709447
-33.8637792928473,120.914137573114,0.340404328928714,0.222825923481239,0.521127333463949
-33.8965313648403,120.666557605432,0.340312217384075,0.222241282571321,0.521396593649658
-33.9601128418587,120.426053264396,0.323917824387499,0.213346033221077,0.501135147309911
-33.9388482722391,120.178614411459,0.323917824387499,0.214081956129543,0.501378561977483
-33.9663062145724,119.930126863677,0.323917824387499,0.213694669008934,0.500756918463748
-34.0585444757924,119.702271729603,0.323917824387499,0.212867211039741,0.500595022641637
