port_name,country,continent,lat,lon,freight_total,risk_mean,risk_median,risk_low,risk_high,hazard
Jose Terminal,Venezuela,Latin-America,10.098565906654752,-64.8703710788836,3292734132.6958733,10708607.157325344,1534720.227599309,180.73563324067277,50965882.126960665,operational
Joutseno,Finland,Northern-Europe,61.13209395314068,28.45890531691416,204106.20427040648,0.0004447514042611708,0.0,0.0,0.0030427135063388,operational
Ju Aymah LPG Terminal,Saudi Arabia,Middle-East,26.87564923644428,50.00250368139483,46727749511.0254,305892.00007111946,259775.75169382777,97204.63060547155,672357.1499941493,operational
Kaba Burnu,Turkey,Mediterranean,40.77306790531253,29.55893509236738,10202953781.568829,90287.62441099748,28446.710311800016,1505.530054739636,383521.1398268051,operational
Kagoshima Ko,Japan,Asia,31.5330466260242,130.5458089372961,1427232283.1997542,0.0,0.0,0.0,0.0,operational
Kakinada Bay,India,Asia,16.96803700414477,82.29700790934642,8067793188.64654,11090.681232742403,0.0,0.0,59727.11315141916,operational
Kaliningrad,Russia,Eastern-Europe,54.70007357923262,20.45369126199346,1276945249.853516,315.2051528308388,0.0,0.0,1600.538594064779,operational
Kalmar,Sweden,Northern-Europe,56.66016842703954,16.369040013097386,1096254.5886049438,0.0,0.0,0.0,0.0,operational
Kalundborg,Denmark,Northern-Europe,55.668074243279904,11.081587831064343,7861552263.839816,68497.65448619271,5214.295688617489,0.0,423300.8959076375,operational
Kamaishi Ko,Japan,Asia,39.26402113423952,141.8975903195104,80680.14583265776,2.137868689747051,1.1874433609751918,0.2111582284738303,8.366116615616214,operational
Kamarajar Port,India,Asia,13.263762622008084,80.3467857641016,15988802654.455544,3315.0543924956064,0.0,0.0,18314.89045562329,operational
Kampong Saom,Cambodia,Asia,10.674444180264803,103.5233448849486,24616265836.046185,0.0,0.0,0.0,0.0,operational
Kamsar,Guinea,Africa,10.639340598585845,-14.622001131510892,5297586.391581109,194054.95728899888,34143.32899720738,1573.933574070688,924000.624597355,operational
Kanazawa,Japan,Asia,36.6162815893274,136.61320565800648,1775222082.0702884,154337.8388971524,75965.18282845215,7339.416722232667,558008.5907042047,operational
Kanda,Japan,Asia,33.82366254603202,131.00473040650672,16566897432.40861,550.4423041025973,0.0,0.0,3976.809137207659,operational
Kandalaksha,Russia,Eastern-Europe,67.13580684582182,32.40867471248912,13167.258155450148,0.0,0.0,0.0,0.0,operational
Kandla,India,Asia,23.01535435600592,70.2247109929842,33303517102.20469,1963.930520973976,0.0,0.0,0.0,operational
