port_name,country,continent,lat,lon,freight_total,risk_mean,risk_median,risk_low,risk_high,hazard
Harmac,Canada,North-America,49.14317624401256,-123.863838766506,1808744651.7140136,22972.72018021274,22760.340389164303,4644.676576358312,42265.36638814328,coastal
Haroysund,Norway,Northern-Europe,62.86079146354778,7.007695996823539,862931666.128122,648329.342047287,626130.1354720062,335077.7865929577,1028349.0496648541,coastal
Haydarpasa,Turkey,Mediterranean,41.00096339994033,29.01521779745681,381065123.6202709,0.0,0.0,0.0,0.0,coastal
Haypoint,Australia,Australia,-21.262326054471856,149.31445384951795,14833282924.076311,702703.0195444614,683515.1736417168,499528.4992468894,963767.0513077176,coastal
Helsingborg,Sweden,Northern-Europe,56.01908584955418,12.702607114396503,13649759.68248744,407260.4615388048,394028.5507264734,149591.73311682724,686279.6577138358,coastal
Helsinki,Finland,Northern-Europe,60.18754706872456,25.034744835032583,2421559107.139689,1329099.0130031218,1239619.7938444023,607876.459767211,2225593.230185614,coastal
Heysham,United Kingdom,Western-Europe,54.033906818244375,-2.916436338171277,544672937.5872517,188389.62823214024,186757.7316617109,127533.93514765488,256794.34112847887,coastal
Higashi-Harima,Japan,Asia,34.72523348790792,134.82361113496415,15287288037.39294,282222.13793877006,278728.16719406145,135426.9689957888,448639.2474302699,coastal
Hilo,U.S.A.,North-America,19.743269886771586,-155.0670968769072,131869641.4781338,0.0,0.0,0.0,0.0,coastal
Himeji,Japan,Asia,34.77271872142368,134.64224078911982,7271468616.116933,2633976.2135831136,2635184.6627168832,1864362.3498776432,3460690.5176338167,coastal
Hiroshima,Japan,Asia,34.34620817128361,132.4521692218322,22760575402.21884,48903.59205467293,46784.02595180424,19590.918148089535,80987.88700072662,coastal
Hirtshals,Denmark,Northern-Europe,57.59377230990972,9.972200317005916,341348346.9866078,245019.06481357833,249734.43024204893,78038.55476480786,399849.5425118156,coastal
Hitachi,Japan,Asia,36.45099691008194,140.62511335127613,25810450042.85643,99759.24431662758,24486.936911365978,0.0,322343.59294662194,coastal
Hobart,Australia,Australia,-42.86104374417286,147.33482350849542,1375428022.199419,25158.601145160515,22731.921559787817,0.0,65128.59830604491,coastal
Hobro,Denmark,Northern-Europe,56.63872326750803,9.801079080548725,366497.6544460477,0.0,0.0,0.0,0.0,coastal
Hofu,Japan,Asia,34.01858256245635,131.57820086120026,1388173.137012876,669367.8535131864,683772.3368081517,421006.45363628765,912853.7120920796,coastal
Homikawa,Japan,Asia,37.04451820109448,137.84605851281938,1378686963.05182,0.0,0.0,0.0,0.0,coastal
Hon Gai,Vietnam,Asia,20.976854770585792,107.05588379388736,14969213574.728884,1277639.1550410003,1228273.8048433845,663914.3053141773,2052242.1385315142,coastal
Hong Kong,Hong Kong,Asia,22.35038792164725,114.14842045685543,226608242443.4703,72024.51727777222,68476.74058939397,37487.19070273999,117354.68580430905,coastal
Honiara,Solomon Islands,Oceania,-9.417333482214206,159.9869666492247,232512513.14870453,24524.91889243826,0.0,0.0,99646.6465024523,coastal
Honolulu,U.S.A.,North-America,21.32624508791791,-157.92474751446278,11258175268.74664,59611.07358551096,53087.65786954922,10508.045084659172,127184.28490636624,coastal
Hopa,Turkey,Eastern-Europe,41.40806666911495,41.434696271940325,46826772.173876405,107.93782906509888,86.36157166258825,0.0,304.5909847899507,coastal
Horta,Portugal,Western-Europe,38.52990367947383,-28.62446893343757,11665950.525029808,61291.164169038,1417.5007441931643,0.0,231351.98837220453,coastal
Horten,Norway,Northern-Europe,59.41364856661709,10.491701987956182,147616.9808586246,136521.71940610564,130507.70274543969,13942.255994381576,293009.79954484454,coastal
Hososhima Ko,Japan,Asia,32.50397766553836,131.67641737392717,259159.89294021245,29034.39285126091,27143.673308524416,5323.727582243702,56328.57165718139,coastal
Houston,U.S.A.,North-America,29.709638591877344,-95.07446556627032,124557529199.0028,2098213.6987610105,1948938.5200462244,1028571.488088964,3511151.4453224563,coastal
Hua-Lien Kang,Taiwan,Asia,23.98327583972513,121.63195979851908,931028.6486184098,20894.14558985845,19807.55628770304,7590.118191785862,36566.6772654146,coastal
Huelva,Spain,Western-Europe,37.16277671147754,-6.886173283072676,7579147670.992975,337163.71598339954,306426.12223509164,162432.85730361767,569841.8732992747,coastal
Huizhou,China,Asia,22.74031256016531,114.61228550364484,3663619773.971032,111783.16597330148,105436.4755786185,66054.47905065338,166457.07006298547,coastal
Husum,Germany,Western-Europe,54.4754731923866,9.027035188940236,154797044.5599019,869550.4345920889,864515.205964901,738697.7951754674,1019701.1591788264,coastal
Husum,Sweden,Northern-Europe,63.31615409057033,19.159087748312945,2106711944.3420143,760466.1239639514,745422.4754435229,420205.0521078288,1155999.2048995355,coastal
Ijmuiden,Netherlands,Western-Europe,52.46787569264592,4.6078986608769945,9313447604.235825,54680.28032929874,54448.8680453506,40670.788915672325,70907.22861301019,coastal
Iligan,Philippines,Asia,8.261751385171001,124.241180049437,1024884452.9566268,165295.71813053873,168407.76114986464,58488.31904562264,281161.7753336165,coastal
